id,name,link
CH32,葛城ミサト / 葛城美里,https://bgm.tv/character/5088
CH33,赤木リツコ / 赤木律子,https://bgm.tv/character/5089
CH34,渚カヲル / 渚薰,https://bgm.tv/character/6965
CH35,加持リョウジ / 加持良治,https://bgm.tv/character/7144
CH36,冬月コウゾウ / 冬月耕造,https://bgm.tv/character/7378
CH37,碇ゲンドウ / 碇源堂,https://bgm.tv/character/12479
CH38,人形使い / 傀儡师,https://bgm.tv/character/31637
CH39,伊吹マヤ / 伊吹摩耶,https://bgm.tv/character/6380
CH40,日向マコト / 日向诚,https://bgm.tv/character/7392
CH41,青葉シゲル / 青叶茂,https://bgm.tv/character/7393
CH42,緋村剣心 / 绯村剑心,https://bgm.tv/character/2328
CH43,雪代巴 / 雪代巴,https://bgm.tv/character/5893
CH44,比古清十郎 / 比古清十郎,https://bgm.tv/character/2320
CH45,斎藤一 / 斋藤一,https://bgm.tv/character/5829
CH46,沖田総司 / 冲田总司,https://bgm.tv/character/5830
CH47,雪代縁 / 雪代缘,https://bgm.tv/character/5850
CH48,桂小五郎 / 桂小五郎,https://bgm.tv/character/67218
CH49,清里明良 / 清里明良,https://bgm.tv/character/5832
CH50,高杉晋作 / 高杉晋作,https://bgm.tv/character/5849
CH51,エドワード・エルリック / 爱德华·艾尔利克,https://bgm.tv/character/86
CH52,アルフォンス・エルリック / 阿尔芬斯·艾尔利克,https://bgm.tv/character/87
CH53,ウィンリィ・ロックベル / 温莉·洛克贝尔,https://bgm.tv/character/88
CH54,ヴァン・ホーエンハイム / 冯·霍恩海姆,https://bgm.tv/character/6876
CH55,トリシャ・エルリック / 特蕾莎·艾尔利克,https://bgm.tv/character/6877
CH56,ピナコ・ロックベル / 皮纳可·洛克贝尔,https://bgm.tv/character/89
CH57,イズミ・カーティス / 泉美·卡迪斯,https://bgm.tv/character/91
CH58,シグ・カーティス / 席古·卡迪斯,https://bgm.tv/character/8354
CH59,ロイ・マスタング / 罗伊·马斯坦古,https://bgm.tv/character/527
CH60,Tom / 汤姆,https://bgm.tv/character/14401
CH61,Jerry / 杰瑞,https://bgm.tv/character/14402
CH62,Spike / 斯派克,https://bgm.tv/character/24335
CH63,桐山零 / 桐山零,https://bgm.tv/character/35648
CH64,川本あかり / 川本明里,https://bgm.tv/character/35649
CH65,川本ひなた / 川本日向,https://bgm.tv/character/35650
CH66,川本モモ / 川本桃,https://bgm.tv/character/35652
CH67,二海堂晴信 / 二海堂晴信,https://bgm.tv/character/44402
CH68,幸田香子 / 幸田香子,https://bgm.tv/character/44404
CH69,高橋勇介 / 高桥勇介,https://bgm.tv/character/45928
CH70,島田開 / 岛田开,https://bgm.tv/character/45929
CH71,三角龍雪 / 三角龙雪,https://bgm.tv/character/45930
CH72,坂田銀時 / 坂田银时,https://bgm.tv/character/85
CH73,志村新八 / 志村新八,https://bgm.tv/character/250
CH74,神楽 / 神乐,https://bgm.tv/character/229
CH75,泥水次郎長 / 泥水次郎长,https://bgm.tv/character/55672
CH76,椿平子 / 椿平子,https://bgm.tv/character/55674
CH77,定春 / 定春,https://bgm.tv/character/251
CH78,志村妙 / 志村妙,https://bgm.tv/character/254
CH79,桂小太郎 / 桂小太郎,https://bgm.tv/character/253
CH80,土方十四郎 / 土方十四郎,https://bgm.tv/character/2747
CH81,流川楓 / 流川枫,https://bgm.tv/character/7152
CH82,宮城リョータ / 宫城良田,https://bgm.tv/character/7154
CH83,三井寿 / 三井寿,https://bgm.tv/character/7155
CH84,桜木花道 / 樱木花道,https://bgm.tv/character/16237
CH85,赤木剛憲 / 赤木刚宪,https://bgm.tv/character/16241
CH86,赤木晴子 / 赤木晴子,https://bgm.tv/character/16242
CH87,安西光義 / 安西光义,https://bgm.tv/character/4185
CH88,木暮公延 / 木暮公延,https://bgm.tv/character/31537
CH89,水戸洋平 / 水户洋平,https://bgm.tv/character/31538
CH90,ヤン・ウェンリー / 杨文里,https://bgm.tv/character/12423
CH91,ラインハルト・フォン・ローエングラム / 莱因哈特·冯·罗严克拉姆,https://bgm.tv/character/2122
CH92,ジークフリード・キルヒアイス / 齐格飞·吉尔菲艾斯,https://bgm.tv/character/2123
CH93,ユリアン・ミンツ / 尤里安·敏兹,https://bgm.tv/character/2527
CH94,オスカー・フォン・ロイエンタール / 奥斯卡·冯·罗严塔尔,https://bgm.tv/character/2130
CH95,ウォルフガング・ミッターマイヤー / 渥佛根·米达麦亚,https://bgm.tv/character/2129
CH96,フレデリカ・グリーンヒル / 菲列特利加·格林希尔,https://bgm.tv/character/2534
CH97,ヒルデガルド・フォン・マリーンドルフ / 希尔德·冯·玛林道夫,https://bgm.tv/character/2135
CH98,パウル・フォン・オーベルシュタイン / 巴尔·冯·奥贝斯坦,https://bgm.tv/character/2131
CH99,宮森あおい / 宫森葵,https://bgm.tv/character/27234
CH100,安原絵麻 / 安原绘麻,https://bgm.tv/character/27235
CH101,坂木しずか / 坂木静香,https://bgm.tv/character/27236
CH102,藤堂美沙 / 藤堂美沙,https://bgm.tv/character/27237
CH103,今井みどり / 今井绿,https://bgm.tv/character/27238
CH104,小笠原綸子 / 小笠原纶子,https://bgm.tv/character/27244
CH105,本田豊 / 本田丰,https://bgm.tv/character/27239
CH106,高梨太郎 / 高梨太郎,https://bgm.tv/character/27240
CH107,矢野エリカ / 矢野艾莉卡,https://bgm.tv/character/27241
CH108,キャサリン / 凯瑟琳,https://bgm.tv/character/3052
CH109,沖田総悟 / 冲田总悟,https://bgm.tv/character/2748
CH110,近藤勲 / 近藤勋,https://bgm.tv/character/3055
CH111,エリザベス / 伊丽莎白,https://bgm.tv/character/252
CH112,ギンコ / 银古,https://bgm.tv/character/156
CH113,ぬい / 奴伊,https://bgm.tv/character/157
CH114,化野 / 化野,https://bgm.tv/character/158
CH115,れんず / 廉子,https://bgm.tv/character/3150
CH116,五百蔵しんら / 五百藏森罗,https://bgm.tv/character/5274
CH117,スイ / 翠,https://bgm.tv/character/5284
CH118,ビキ / 齐,https://bgm.tv/character/5285
CH119,真火 / 真火,https://bgm.tv/character/5309
CH120,白沢 / 白泽,https://bgm.tv/character/5310
CH121,エレン・イェーガー / 艾伦·耶格尔,https://bgm.tv/character/18101
CH122,ミカサ・アッカーマン / 三笠·阿克曼,https://bgm.tv/character/18102
CH123,アルミン・アルレルト / 阿明·阿诺德,https://bgm.tv/character/19616
CH124,コニー・スプリンガー / 柯尼·史普林格,https://bgm.tv/character/19621
CH125,サシャ・ブラウス / 莎夏·布劳斯,https://bgm.tv/character/19619
CH126,クリスタ・レンズ / 克里斯塔·连兹,https://bgm.tv/character/19620
CH127,ジャン・キルシュタイン / 让·基尔休坦,https://bgm.tv/character/19617
CH128,ライナー・ブラウン / 莱纳·布朗,https://bgm.tv/character/19623
CH129,ベルトルト・フーバー / 贝尔托特·胡佛,https://bgm.tv/character/19624
CH130,キム / 金,https://bgm.tv/character/31636
CH131,検死官ハラウェイ / 哈勒维法医,https://bgm.tv/character/31638
CH132,霧越未麻 / 雾越未麻,https://bgm.tv/character/9619
CH133,内田 / 内田,https://bgm.tv/character/29561
CH134,ルミ / 留美,https://bgm.tv/character/29562
CH135,キョン / 阿虚,https://bgm.tv/character/47
CH136,長門有希 / 长门有希,https://bgm.tv/character/49
CH137,涼宮ハルヒ / 凉宫春日,https://bgm.tv/character/48
CH138,朝比奈みくる / 朝比奈实玖瑠,https://bgm.tv/character/50
CH139,古泉一樹 / 古泉一树,https://bgm.tv/character/51
CH140,朝倉涼子 / 朝仓凉子,https://bgm.tv/character/2264
CH141,世界を大いに盛り上げるための涼宮ハルヒの団 / 让世界变得更热闹的凉宫春日的团,https://bgm.tv/character/6492
CH142,鶴屋さん / 鶴屋学姐,https://bgm.tv/character/2204
CH143,谷口 / 谷口,https://bgm.tv/character/2279
CH144,真希波・マリ・イラストリアス / 真希波·玛丽·伊兰崔亚斯,https://bgm.tv/character/12702
CH145,Pen Pen,https://bgm.tv/character/6969
CH146,シモン / 西蒙,https://bgm.tv/character/2353
CH147,カミナ / 卡米那,https://bgm.tv/character/2352
CH148,ヨーコ / 优子,https://bgm.tv/character/2354
CH149,ニア・テッペリン / 妮亚,https://bgm.tv/character/2355
CH150,ロシウ・アダイ / 罗修,https://bgm.tv/character/2356
CH151,キタン・バチカ / 奇坦,https://bgm.tv/character/2392
CH152,キノン・バチカ / 奇农,https://bgm.tv/character/2398
CH153,ヴィラル / 维拉鲁,https://bgm.tv/character/2945
CH154,ダリー・アダイ / 达莉,https://bgm.tv/character/2972
CH155,藤原千代子 / 藤原千代子,https://bgm.tv/character/6447
CH156,鍵の君 / 钥匙先生,https://bgm.tv/character/54530
CH157,立花源也 / 立花源也,https://bgm.tv/character/54531
CH158,井田恭二 / 井田恭二,https://bgm.tv/character/54532
CH159,後藤喜一 / 后藤喜一,https://bgm.tv/character/7616
CH160,南雲しのぶ / 南云忍,https://bgm.tv/character/9288
CH161,荒川茂樹 / 荒川茂树,https://bgm.tv/character/9344
CH162,柘植行人 / 柘植行人,https://bgm.tv/character/31646
CH163,泉野明 / 泉野明,https://bgm.tv/character/7611
CH164,篠原遊馬 / 筱原游马,https://bgm.tv/character/9289
CH165,山崎ひろみ / 山崎广美,https://bgm.tv/character/9290
CH166,太田功 / 太田功,https://bgm.tv/character/9291
CH167,進士幹泰 / 进士干泰,https://bgm.tv/character/9293
CH168,Rick Sanchez / 瑞克·桑切斯,https://bgm.tv/character/51183
CH169,Morty Smith / 莫蒂·史密斯,https://bgm.tv/character/51192
CH170,Beth Smith / 贝丝·史密斯,https://bgm.tv/character/54488
CH171,Jerry Smith / 杰里·史密斯,https://bgm.tv/character/54489
CH172,Summer Smith / 萨默·史密斯,https://bgm.tv/character/54490
CH173,岡部倫太郎 / 冈部伦太郎,https://bgm.tv/character/12392
CH174,牧瀬紅莉栖 / 牧濑红莉栖,https://bgm.tv/character/12393
CH175,椎名まゆり / 椎名真由理,https://bgm.tv/character/12381
CH176,橋田至 / 桥田至,https://bgm.tv/character/12399
CH177,阿万音鈴羽 / 阿万音铃羽,https://bgm.tv/character/12394
CH178,桐生萌郁 / 桐生萌郁,https://bgm.tv/character/12400
CH179,漆原るか / 漆原琉华,https://bgm.tv/character/12396
CH180,フェイリス・ニャンニャン / 菲利斯·喵喵,https://bgm.tv/character/12398
CH181,天王寺裕吾 / 天王寺裕吾,https://bgm.tv/character/50546
CH182,荻野千尋 / 荻野千寻,https://bgm.tv/character/13299
CH183,ハク / 白,https://bgm.tv/character/8258
CH184,釜爺,https://bgm.tv/character/8259
CH185,リン,https://bgm.tv/character/8260
CH186,荻野悠子 / 荻野悠子,https://bgm.tv/character/42557
CH187,坊,https://bgm.tv/character/70724
CH188,ススワタリ,https://bgm.tv/character/8261
CH189,水無灯里 / 水无灯里,https://bgm.tv/character/11598
CH190,藍華・S・グランチェスタ / 蓝华·S·葛兰基斯塔,https://bgm.tv/character/7277
CH191,アリス・キャロル / 爱丽丝·凯洛尔,https://bgm.tv/character/11599
CH192,アリシア・フローレンス / 艾莉西亚·佛罗伦斯,https://bgm.tv/character/2767
CH193,晃・E・フェラーリ / 晃·E·费拉利,https://bgm.tv/character/11601
CH194,アテナ・グローリィ / 雅典娜·葛络俐,https://bgm.tv/character/7283
CH195,アリア・ポコテン / 亚利亚·波克提,https://bgm.tv/character/11600
CH196,愛野アイ / 爱野爱,https://bgm.tv/character/7279
CH197,天地秋乃 / 天地秋乃,https://bgm.tv/character/2768
CH198,孙悟空 / 孙悟空,https://bgm.tv/character/11864
CH199,二郎神,https://bgm.tv/character/39517
CH200,东海龙王 / 敖广,https://bgm.tv/character/39410
CH201,玉皇大帝,https://bgm.tv/character/39411
CH202,太白金星,https://bgm.tv/character/39412
CH203,托塔李天王 / 托塔李天王,https://bgm.tv/character/80874
CH204,ムゲン / 无幻,https://bgm.tv/character/5020
CH205,ジン / 仁,https://bgm.tv/character/11558
CH206,フウ / 风,https://bgm.tv/character/5019
CH207,のこぎり万蔵 / 锯子万藏,https://bgm.tv/character/61527
CH208,八葉 / 八叶,https://bgm.tv/character/34207
CH209,新輔 / 新辅,https://bgm.tv/character/61528
CH210,紫乃 / 紫乃,https://bgm.tv/character/61529
CH211,菱川師宣 / 菱川师宣,https://bgm.tv/character/11200
CH212,丈二 / 丈二,https://bgm.tv/character/61799
CH213,タキ,https://bgm.tv/character/68293
CH214,ナレーション / 旁白,https://bgm.tv/character/10956
CH215,竹本祐太 / 竹本祐太,https://bgm.tv/character/6885
CH216,花本はぐみ / 花本叶久美,https://bgm.tv/character/6887
CH217,真山巧 / 真山巧,https://bgm.tv/character/6889
CH218,原田理花 / 原田理花,https://bgm.tv/character/8385
CH219,山田あゆみ / 山田亚由美,https://bgm.tv/character/13114
CH220,森田忍 / 森田忍,https://bgm.tv/character/16803
CH221,花本修司 / 花本修司,https://bgm.tv/character/55754
CH222,合田稼頭男 / 合田稼头男,https://bgm.tv/character/8386
CH223,徳大寺 / 德大寺,https://bgm.tv/character/8387
CH224,狩房淡幽 / 狩房淡幽,https://bgm.tv/character/5472
CH225,テル / 照,https://bgm.tv/character/76303
CH226,イサザ / 素鱼,https://bgm.tv/character/5529
CH227,たま / 玉,https://bgm.tv/character/5474
CH228,森田馨 / 森田馨,https://bgm.tv/character/8388
CH229,野宮匠 / 野宫匠,https://bgm.tv/character/8389
CH230,日向翔陽 / 日向翔阳,https://bgm.tv/character/24322
CH231,影山飛雄 / 影山飞雄,https://bgm.tv/character/24323
CH232,澤村大地 / 泽村大地,https://bgm.tv/character/24324
CH233,菅原孝支 / 菅原孝支,https://bgm.tv/character/24325
CH234,田中龍之介 / 田中龙之介,https://bgm.tv/character/24326
CH235,東峰旭 / 东峰旭,https://bgm.tv/character/24327
CH236,西谷夕 / 西谷夕,https://bgm.tv/character/24328
CH237,月島蛍 / 月岛萤,https://bgm.tv/character/24329
CH238,山口忠 / 山口忠,https://bgm.tv/character/24330
CH239,バーナード・ワイズマン / 巴纳德·维兹曼,https://bgm.tv/character/11985
CH240,クリスチーナ・マッケンジー / 克莉丝蒂娜·马坎基,https://bgm.tv/character/12015
CH241,アルフレッド・イズルハ / 阿尔弗雷德·伊兹尔哈,https://bgm.tv/character/12158
CH242,アンディ・ストロース,https://bgm.tv/character/3618
CH243,フォン・ヘルシング,https://bgm.tv/character/3619
CH244,チェイ,https://bgm.tv/character/3621
CH245,ドロレス・ヘイズ,https://bgm.tv/character/3622
CH246,ディック・ルムンバ,https://bgm.tv/character/3623
CH247,ハーディ・シュタイナー / 休泰纳·哈迪,https://bgm.tv/character/12159
CH248,ブライト・ノア / 布莱德·诺亚,https://bgm.tv/character/4333
CH249,カミーユ・ビダン / 卡缪·比坦,https://bgm.tv/character/4546
CH250,花園麗 / 花园丽,https://bgm.tv/character/4887
CH251,シャア・アズナブル / 夏亚·阿兹纳布,https://bgm.tv/character/13245
CH252,バスク・オム / 巴斯克·奥姆,https://bgm.tv/character/3687
CH253,ハマーン・カーン / 哈曼·卡恩,https://bgm.tv/character/3704
CH254,ジェリド・メサ / 杰里德·梅萨,https://bgm.tv/character/4332
CH255,アストナージ・メドッソ / 阿斯特兰治,https://bgm.tv/character/4334
CH256,ヘンケン・ベッケナー / 亨肯·贝克那,https://bgm.tv/character/4335
CH257,シータ / 希达,https://bgm.tv/character/10364
CH258,パズー / 巴斯,https://bgm.tv/character/35246
CH259,モンキー・D・ルフィ / 蒙奇·D·路飞,https://bgm.tv/character/2358
CH260,ロロノア・ゾロ / 罗罗诺亚·索隆,https://bgm.tv/character/2359
CH261,ナミ / 娜美,https://bgm.tv/character/2360
CH262,ウソップ / 乌索普,https://bgm.tv/character/2362
CH263,ヴィンスモーク・サンジ / 文斯莫克·山智,https://bgm.tv/character/2363
CH264,トニートニー・チョッパー / 托尼托尼·乔巴,https://bgm.tv/character/2371
CH265,ニコ・ロビン / 妮可·罗宾,https://bgm.tv/character/2372
CH266,フランキー / 弗兰奇,https://bgm.tv/character/2374
CH267,ブルック / 布鲁克,https://bgm.tv/character/2375
CH268,わたし / 我,https://bgm.tv/character/19916
CH269,小津 / 小津,https://bgm.tv/character/19917
CH270,明石さん / 明石,https://bgm.tv/character/19915
CH271,樋口清太郎 / 樋口清太郎,https://bgm.tv/character/20972
CH272,羽貫涼子 / 羽贯凉子,https://bgm.tv/character/20969
CH273,城ヶ崎先辈 / 城崎先辈,https://bgm.tv/character/20968
CH274,相島先辈 / 相岛,https://bgm.tv/character/20970
CH275,香織さん / 香织,https://bgm.tv/character/20971
CH276,ジョニー / 乔尼,https://bgm.tv/character/50574
CH277,鹿目まどか / 鹿目圆,https://bgm.tv/character/10439
CH278,暁美ほむら / 晓美焰,https://bgm.tv/character/10440
CH279,美樹さやか / 美树沙耶香,https://bgm.tv/character/10445
CH280,巴マミ / 巴麻美,https://bgm.tv/character/10441
CH281,佐倉杏子 / 佐仓杏子,https://bgm.tv/character/10672
CH282,キュゥべえ / 丘比,https://bgm.tv/character/10446
CH283,上条恭介 / 上条恭介,https://bgm.tv/character/10682
CH284,志筑仁美 / 志筑仁美,https://bgm.tv/character/10688
CH285,鹿目詢子 / 鹿目询子,https://bgm.tv/character/10684
CH286,千葉敦子 / 千叶敦子,https://bgm.tv/character/22143
CH287,あずさ・B・マクラーレン / 梓·B·麦克拉伦,https://bgm.tv/character/33534
CH288,アーニャ・ドストエフスカヤ / 阿妮娅·多斯托耶夫斯卡娅,https://bgm.tv/character/33294
CH289,特務機関NERV / NERV,https://bgm.tv/character/5090
CH290,アダム / 亚当,https://bgm.tv/character/55755
CH291,星野裕,https://bgm.tv/character/23120
CH292,月本誠 / 月本诚,https://bgm.tv/character/23121
CH293,孔文革,https://bgm.tv/character/23122
CH294,佐久間学 / 佐久间学,https://bgm.tv/character/23123
CH295,風間竜一 / 风间龙一,https://bgm.tv/character/23124
CH296,小泉丈,https://bgm.tv/character/23125
CH297,田村 / 田村,https://bgm.tv/character/23126
CH298,孔のコーチ / 孔的教练,https://bgm.tv/character/24377
CH299,江上 / 江上,https://bgm.tv/character/25508
CH300,鎧塚みぞれ / 铠冢霙,https://bgm.tv/character/40739
CH301,傘木希美 / 伞木希美,https://bgm.tv/character/42276
CH302,リズ / 莉兹,https://bgm.tv/character/61545
CH303,少女 / 少女,https://bgm.tv/character/61546
CH304,中川夏紀 / 中川夏纪,https://bgm.tv/character/31829
CH305,吉川優子 / 吉川优子,https://bgm.tv/character/31830
CH306,剣崎梨々花 / 剑崎梨梨花,https://bgm.tv/character/61483
CH307,黄前久美子 / 黄前久美子,https://bgm.tv/character/29282
CH308,加藤葉月 / 加藤叶月,https://bgm.tv/character/29283
CH309,夜神月 / 夜神月,https://bgm.tv/character/2215
CH310,L / L,https://bgm.tv/character/16684
CH311,リューク / 流克,https://bgm.tv/character/16685
CH312,弥海砂 / 弥海砂,https://bgm.tv/character/15993
CH313,ニア / 尼亚,https://bgm.tv/character/25862
CH314,メロ / 梅洛,https://bgm.tv/character/2219
CH315,魅上照 / 魅上照,https://bgm.tv/character/2222
CH316,高田清美 / 高田清美,https://bgm.tv/character/33485
CH317,レム / 雷姆,https://bgm.tv/character/25660
CH318,伊吹風子 / 伊吹风子,https://bgm.tv/character/6
CH319,一ノ瀬ことみ / 一之濑琴美,https://bgm.tv/character/5
CH320,藤林杏 / 藤林杏,https://bgm.tv/character/7
CH321,坂上智代 / 坂上智代,https://bgm.tv/character/8
CH322,藤林椋 / 藤林椋,https://bgm.tv/character/1013
CH323,春原陽平 / 春原阳平,https://bgm.tv/character/1014
CH324,宮沢有紀寧 / 宫泽有纪宁,https://bgm.tv/character/1015
CH325,ドラえもん / 哆啦A梦,https://bgm.tv/character/7251
CH326,骨川スネ夫 / 骨川小夫,https://bgm.tv/character/7316
CH327,野比のび太 / 野比大雄,https://bgm.tv/character/7259
CH328,源静香 / 源静香,https://bgm.tv/character/7260
CH329,剛田武 / 刚田武,https://bgm.tv/character/7312
CH330,ドラミ / 哆啦美,https://bgm.tv/character/9670
CH331,野比のび助 / 野比大助,https://bgm.tv/character/26616
CH332,野比玉子 / 野比玉子,https://bgm.tv/character/26617
CH333,出木杉英才 / 出木杉英才,https://bgm.tv/character/29741
CH334,サン,https://bgm.tv/character/6745
CH335,アシタカ / 阿席达卡,https://bgm.tv/character/27786
CH336,エボシ,https://bgm.tv/character/7424
CH337,乙事主,https://bgm.tv/character/7427
CH338,甲六,https://bgm.tv/character/7428
CH339,トキ,https://bgm.tv/character/7429
CH340,シシ神 / 山兽神,https://bgm.tv/character/7426
CH341,両儀式 / 两仪式,https://bgm.tv/character/10570
CH342,臙条巴 / 胭条巴,https://bgm.tv/character/15914
CH343,蒼崎橙子 / 苍崎橙子,https://bgm.tv/character/3205
CH344,荒耶宗蓮 / 荒耶宗莲,https://bgm.tv/character/4237
CH345,黒桐幹也 / 黑桐干也,https://bgm.tv/character/10902
CH346,コルネリウス・アルバ / 柯尼勒斯·阿鲁巴,https://bgm.tv/character/4238
CH347,臙条孝之 / 胭条孝之,https://bgm.tv/character/8243
CH348,臙条楓 / 胭条枫,https://bgm.tv/character/15915
CH349,秋巳大輔 / 秋巳大辅,https://bgm.tv/character/8184
CH350,アムロ・レイ / 阿姆罗·雷,https://bgm.tv/character/4545
CH351,クェス・パラヤ / 葵丝·帕拉雅,https://bgm.tv/character/28217
CH352,チェーン・アギ / 珍·亚纪,https://bgm.tv/character/31663
CH353,ハサウェイ・ノア / 哈萨维·诺亚,https://bgm.tv/character/31659
CH354,ギュネイ・ガス / 邱尼·盖斯,https://bgm.tv/character/31661
CH355,ナナイ・ミゲル / 娜娜伊·米盖尔,https://bgm.tv/character/31662
CH356,天上ウテナ / 天上欧蒂娜,https://bgm.tv/character/509
CH357,姫宮アンシー / 姬宫安希,https://bgm.tv/character/510
CH358,桐生冬芽 / 桐生冬芽,https://bgm.tv/character/511
CH359,有栖川樹璃 / 有栖川树璃,https://bgm.tv/character/513
CH360,薫幹 / 薰干,https://bgm.tv/character/514
CH361,西園寺莢一 / 西园寺荚一,https://bgm.tv/character/512
CH362,桐生七実 / 桐生七实,https://bgm.tv/character/6430
CH363,篠原若葉 / 篠原若叶,https://bgm.tv/character/6386
CH364,鳳暁生 / 凤晓生,https://bgm.tv/character/515
CH365,西住みほ / 西住美穗,https://bgm.tv/character/17412
CH366,武部沙織 / 武部沙织,https://bgm.tv/character/17413
CH367,五十鈴華 / 五十铃华,https://bgm.tv/character/17414
CH368,秋山優花里 / 秋山优花里,https://bgm.tv/character/17415
CH369,冷泉麻子 / 冷泉麻子,https://bgm.tv/character/17416
CH370,島田愛里寿 / 岛田爱里寿,https://bgm.tv/character/36455
CH371,角谷杏 / 角谷杏,https://bgm.tv/character/17417
CH372,小山柚子 / 小山柚子,https://bgm.tv/character/17418
CH373,河嶋桃 / 河嶋桃,https://bgm.tv/character/17419
CH374,相生祐子 / 相生祐子,https://bgm.tv/character/11905
CH375,長野原みお / 长野原美绪,https://bgm.tv/character/11906
CH376,水上麻衣 / 水上麻衣,https://bgm.tv/character/11907
CH377,東雲なの / 东云名乃,https://bgm.tv/character/11908
CH378,はかせ / 博士,https://bgm.tv/character/11909
CH379,阪本さん / 阪本先生,https://bgm.tv/character/11910
CH380,立花みさと / 立花美里,https://bgm.tv/character/13508
CH381,笹原幸治郎 / 笹原幸治郎,https://bgm.tv/character/12916
CH382,中之条剛 / 中之条刚,https://bgm.tv/character/13501
CH383,三代目有楽亭助六 / 三代目有乐亭助六,https://bgm.tv/character/34777
CH384,八代目有楽亭八雲 / 八代目有乐亭八云,https://bgm.tv/character/34778
CH385,小夏 / 小夏,https://bgm.tv/character/34779
CH386,松田 / 松田,https://bgm.tv/character/35258
CH387,四代目円屋萬月 / 四代目圆屋万月,https://bgm.tv/character/35259
CH388,樋口栄助 / 樋口荣助,https://bgm.tv/character/49832
CH389,信之助 / 信之助,https://bgm.tv/character/49833
CH390,ヤクザ兄貴 / 黑道大哥,https://bgm.tv/character/51177
CH391,城戸績 / 城户绩,https://bgm.tv/character/51178
CH392,ゴン=フリークス / 杰·富力士,https://bgm.tv/character/6497
CH393,キルア＝ゾルディック / 奇犽·揍敌客,https://bgm.tv/character/6550
CH394,クラピカ / 酷拉皮卡,https://bgm.tv/character/6551
CH395,レオリオ / 雷欧力,https://bgm.tv/character/14097
CH396,カイト / 凯特,https://bgm.tv/character/27039
CH397,パクノダ / 派克诺妲,https://bgm.tv/character/65699
CH398,ノブナガ=ハザマ / 信长·哈查马,https://bgm.tv/character/65700
CH399,イルミ=ゾルディック / 伊路米·揍敌客,https://bgm.tv/character/65703
CH400,トンパ / 东巴,https://bgm.tv/character/75498
CH401,空条承太郎 / 空条承太郎,https://bgm.tv/character/878
CH402,ジョセフ・ジョースター / 乔瑟夫·乔斯达,https://bgm.tv/character/879
CH403,モハメド・アヴドゥル / 穆罕默德·阿布德尔,https://bgm.tv/character/3100
CH404,花京院典明 / 花京院典明,https://bgm.tv/character/3106
CH405,イギー / 伊奇,https://bgm.tv/character/3110
CH406,ディオ・ブランドー / 迪奥·布兰多,https://bgm.tv/character/17601
CH407,ジャン＝ピエール・ポルナレフ / 让·皮埃尔·波鲁纳雷夫,https://bgm.tv/character/18570
CH408,ダニエル・J・ダービー / 丹尼尔·J·达比,https://bgm.tv/character/3114
CH409,チャカ / 恰卡,https://bgm.tv/character/3940
CH410,天馬賢三 / 天马贤三,https://bgm.tv/character/18451
CH411,ヨハン・リーベルト / 约翰,https://bgm.tv/character/2467
CH412,ニナ・フォルトナー / 妮娜,https://bgm.tv/character/5040
CH413,ディーター / 迪特,https://bgm.tv/character/18454
CH414,ハインリッヒ・ルンゲ,https://bgm.tv/character/5041
CH415,ハイネマン,https://bgm.tv/character/5042
CH416,オットー・ヘッケル,https://bgm.tv/character/5043
